v1,v2
HAM,اشكال در اينترانت
HAM,اشكال در اجراي Extra
HAM,ايراد در اينترانت
HAM,نياز به نصب نرم افزار البرز
HAM,"ايراد در سيستم خ حزبه ، كندي بيش ازحد"
SPAN,نياز به تونر سامسونگ 2850
HAM,اشكال در DNS و تنظيمات اينترنت
HAM,اشكال در بروز رساني Nod32
HAM,نياز به نصب اسكنرسيستم خ وهام
HAM,اشكال در Login به سيستم Eorg
HAM,نياز به نصب پرينتر و اسكنر
HAM,ايراد در تنظيمات اينترنت و DNS آقاي هندالي
HAM,ويروسي شدن دستگاه منشي خ وهام
HAM,نياز به نصب نرم افزار سيستم خ حلفي
HAM,نياز به اطلاعات سيستم Eorg قديم
SPAN,نياز به يك عدد موس
HAM,نياز به يك عدد مبدل كي برد
SPAN,ويرايش و ثبت فرمهاي تحويل تجهيزات
HAM,نياز به يكدستگاه پرينتر
SPAN,نياز به يك عدد تونر 53A
SPAN,نياز به كابل USB 5 متري
SPAN,اشكال در پرينتر 1320
SPAN,نياز به يكعدد ماوس
HAM,نصب پرينتر تحت شبكه
HAM,نصب پرينتر تحت شبكه
HAM,نصب OverHual + بروزرساني Media Player
HAM,نيازبه نصب SP3 و IE8 جهت منشي گري
HAM,ايراد در Language سيستم خ مكوندي
HAM,نصب Finance سيستم منشي
SPAN,رايت CD ايمني 1 نسخه
HAM,بروز رساني و Scan سيستم بعلت ويروسي بودن
HAM,ايرا در Eorg منشي
HAM,ايراد دراسكنر منشي
HAM,نصب OverHaul روي سيستم خ بهمني
HAM,اشكالات نرم افزاري سيستم آقاي دولو
HAM,نصب پرينتر 2850
HAM,اشكال در پرينتر تحت شبكه خ حزبه
HAM,نصب مجدد Eorg
SPAN,نياز به 2 عددتونر سامسونگ 2850
HAM,ايراد در تنظيمات اينترنت
HAM,نياز به نصب Office Viwer
SPAN,ايراد در پرينتر 2015
SPAN,نياز به هارد اينترنال
SPAN,ايراد در تونر 1522
SPAN,نياز به تونر 2015
HAM,ايراد در ويندوزسيستم
HAM,نياز به نصب پرينتر
HAM,نياز به تعريف پرينتر تحت شبكه
SPAN,نياز به يكعدد كابل برق
HAM,اشكال در كارت صدا
HAM,ايراد در اسكنر منشي
SPAN,ايراد در ماوس نوري
HAM,ايراد در اينترنت
HAM,نياز به نصب Nero 8
HAM,اشكال در اينترنت
HAM,ايراد در Login به سيستم
HAM,ايراد در Eorg گچساران
HAM,ايراد در تنظيمات DNS
HAM,اشكال در تنظيماتDesktop
HAM,ايراد در DVD Rom
HAM,نياز به نصب پرينتر
SPAN,نياز به تونر 1522
HAM,ايراد در پرينتر منشي
SPAN,ايراد در پرينتر 3020 شكستگي جك اسكنر
SPAN,نياز به تحويل پرينتر 2055
SPAN,نياز به تحويل اسكنر HP G4010
SPAN,ايراد در ماوس نوري
SPAN,ايراد در پرينتر 1320
SPAN,ايراد در ماوس نوري
SPAN,نياز به 10 عدد پد ماوس
SPAN,شارژ 13 عدد تونر سامسونگ
HAM,ايراد در اينترنت
HAM,ايراد در Eorg ضمائم نامه
HAM,اشكال در باز كردن ضمايمeorg
HAM,ايراد در ارجاع نامه
HAM,قطعي شبكه   job ثبت شد
HAM,مشكل دراتصال به شبكه  شبكه_اينترنت_eorg
HAM,اشكال درشبكه
HAM,نيازبه تعويض پروفايل وحذف hsc
HAM,نصب اسكنر وحذف hsc
HAM,نصب نرم افرازعمليات كالا وحذفhsc
SPAN,تونر49A
SPAN,ايراد در ماوس
HAM,كندي درسيستم
HAM,اشكال در اينترانت وتنظيمات DNS
HAM,اشكال درپخش فايلهاي صوتي
SPAN,نياز به يكعدد پد و ماوس نوري
HAM,ايراد در نامه Eorg
HAM,نياز به جابجايي سيستم توسط آقاي ابدالي
HAM,ايراد در راه اندازي سيستم
HAM,اشكال در Login به Eorg
HAM,نياز به تبديل فايلهاي PDF به EXCLE
HAM,نياز به تبديل فايلهاي 2007
SPAN,ايراد در ماوس نوري
HAM,نياز به تبديل اطلاعات
SPAN,ايراد در كيبورد فراسو
HAM,ايراد در تنظيمات صدا
HAM,اشكال در فكس منشي
HAM,ايراد در Eorg
HAM,ايراد در پسورد Eorg
SPAN,نياز به يك عدد تونر 49A
HAM,قطعي شبكه
SPAN,اشكال در كابل مانيتور
SPAN,2 عدد CD و2عدد DVD
HAM,ايراد در پست الكترونيك
HAM,نصبAdobe و Office 2007
HAM,اشكال در سيستم منشي
HAM,اشكال در ارسال نامه Eorg
HAM,اشكال در نامه Eorg
SPAN,نياز به تونر3020
HAM,اشكال در سيستم منشي2
SPAN,نياز به تونر 1320
SPAN,نياز به يكعدد ماوس
SPAN,نياز به تونر 3020
SPAN,نياز به تونر53A
HAM,اشكال در پرينتر
HAM,اسكن فايل
SPAN,ايراد در پرينتر 1320
HAM,نياز به يكعدد هارد جهت BackUp اطلاعات
SPAN,نياز به يك بسته CD و يك بسته DVD
SPAN,"نيازبه قطعات سخت افزاري جهت تجهيز كارگاه  1- پاور335وات يكعدد   2-Ram DDRI,II,III  3-خمير سيليكون + كارت گرافيك   4- DVD Writer Liteon"
SPAN,نياز به 5 عدد ماوس جهت كاربران كارگاه مركزي آغاجاري
SPAN,شارژ تونرهاي مصرفي كاربران به تعداد 23 عدد  Samsung و HP53A و HP49A و HP12A
SPAN,نياز به يك ست سيستم
SPAN,نياز به تونر 53A
HAM,ايراد در اكانت اينترنت
HAM,ايراد در پرينتر 2055
HAM,نياز به نصب اسكنر و تعريف پرينتر تحت شبكه
SPAN,ايراد در پاورسيستم منشي
SPAN,نياز به تونر 53a
HAM,ايراد در LCD وكارت گرافيك
HAM,نياز به تعريف Permission درايوها
HAM,ايراد در ورود اطلاعات در سامانه پروژه ها
HAM,ايراد در شبكه سيستم منشي گري
HAM,ايراد در پرينت تحت Eorg
HAM,نياز به تعريف پرينتر منشي
SPAN,4 عدد تونر 49A و 3 عدد تونر 53A جهت كاربران كارگاه
SPAN,نياز به يكعدد ماوس نوري
HAM,ايراد در ويندوز
SPAN,نياز به رايت اطلاعات به تعداد 6 نسخه
SPAN,ايراد در مادر برد سيستم منشي گري
SPAN,نياز به شارژ 3 عدد تونر 13A
SPAN,اشكال در هارد اينترنال 500G
SPAN,نيازبه JackRJ45 Cat 6  به تعداد 15 عدد
SPAN,نياز به تامين ست باطري كارت ساعت (9 تايي)
SPAN,اشكال در فيلم پرينتر 1320
SPAN,اشكال در پاور سيستم
SPAN,اشكال در پاور سيستم منشي خ علي نژاد
HAM,نياز به تعويض يك عدد موس
SPAN,نياز به 10 عدد سي دي و 10 عدد دي وي دي
SPAN,نياز به 5 عدد DVD
SPAN,ايراد در كيبورد فراسو
HAM,نياز به SharePoint Server 2010 جهت راه اندازي پورتال سازماني توربين جنوب
SPAN,ايراد در مادربرد
SPAN,اشكال در پرينتر
HAM,نياز به نصب انبار فرعي
HAM,اشكال در سيستم و كندي سيستم
HAM,نياز به نصب پرينتر
HAM,اشكال در فونت فارسي
HAM,اشكال در كارت گرافيك نياز به نصب مجدد
HAM,نياز به نصب پرينتر سامسونگ
HAM,نياز به تعريف پرينتر تحت شبكه آقاي شكوهي
HAM,اشكال در Login به سيستم
SPAN,نياز به تونر 12A
HAM,ايراد در Acrobat Reader خانم بهمني
HAM,اشكال در Office منشي
HAM,نياز به نصب انبارفرعي آقاي شريفات
HAM,ايراد در كارت صدا
HAM,ايراد در اينترنت
HAM,نياز به نصب اسكنر و پرينتر
HAM,گير كردن كاغذ در پرينتر 3020
HAM,نيازبه نصب MSP 2007
HAM,اشكالدر Office منشي
SPAN,نياز به تونر 53A
HAM,اشكال Eorg
HAM,اشكال در بازنمودن فايلهاي Eorg سيستم منشي
HAM,اشكال در بازنمودن فايلهاي Eorg سيستم منشي
HAM,اشكال در ارجاع پيام Eorg
SPAN,نياز به يكعدد ماوس و پد
SPAN,ايراد در فيلم پرينتر
SPAN,ايراد در سيستم وپرينتر منشي
SPAN,نياز به پاور جهت تست در كارگاه
SPAN,شارژ تونرهاي مصرفي به تعداد 17 عدد
SPAN,نياز به يكديستگاه رايانه و پرينتر سه كاره
HAM,ايراد در اتصال دستگاه USB
HAM,اشكالدر فونت فارسي
HAM,اشكال در Office خ حزبه
HAM,ايراد در پرينترتحت شبكه
HAM,اشكال در Office
HAM,نياز به نصب پرينتر
SPAN,اشكال در راه اندازي سيستم  اشكال مادربرد + رم+پاور
HAM,اشكال در تنظيمات اينترنت
HAM,ايراد در پرينتر 3020
HAM,نياز به نصب OFFICE 2007
SPAN,نياز به تور 53A
HAM,تبديل فايلهاي Office 2007  به 2003 جهت منشي گري
HAM,اشكال در پخش فايلهاي صوتي
SPAN,نياز به تونر 36A
HAM,اشكال در پرينتر
HAM,اشكال در پرينتر تحت شبكه منشي گري
HAM,نياز به فعالسازي اكانت اينترنت
HAM,اشكال در اجراي IE8
HAM,نياز به نصب Finance جهت منشي
SPAN,نياز به يكعدد كابل برق
HAM,گير كردن كاغذ در پرينتر منشي
SPAN,نياز به تونر 1320
HAM,اشكال در پرينتر
HAM,نياز به نصب ويندوز جهت سيستم منشي
HAM,نياز به نصب ويندوز
HAM,نياز به نصب ويندوز جهت سيستمهاي سالن جلسات
HAM,نياز به نصب ويندوز جهت سيستمهاي سالن جلسات
HAM,نياز به نصب ويندوز جهت سيستمهاي سالن جلسات
HAM,نياز به نصب ويندوز جهت سيستمهاي سالن جلسات
HAM,نياز به نصب پرينتر 1522
HAM,نياز به نصب Finance جهت سيستم منشي
HAM,نياز به نصب پرينتر جهت سيستم منشي
HAM,نياز به نصب اسكنر جهت سيستم منشي
SPAN,نياز به يكعدد ماوس
SPAN,نياز به يك عدد تونر سامسونگ
SPAN,نياز به يك عدد تونر 49A
SPAN,نياز به 5 عدد كابل شبكه جهت دستگاه NAS
SPAN,خريد CD 100 عدد جهت تامين نياز كاربران
SPAN,شارژ تونرهاي مصرفي به تعداد 16 عدد
SPAN,نياز به يكدستگاه اسكنر
SPAN,نياز به تحويل لپ تاپ
SPAN,نياز به اسكنر و پرينتر
SPAN,نياز به يك عدد موس
HAM,نياز به نصب Adobe Acrobat Reader 9
HAM,اشكال در پرينتر و شبكه منشي
HAM,نصب پرينتر رنگي جهت منشي
HAM,نياز به نصب Adobe
HAM,ايراد در سيستم
HAM,اشكال در IE
HAM,ايجاد اكانت دامين خانم عبادي
HAM,اشكال در Eorg
HAM,اشكال در دسترسي به فايلها
SPAN,نياز به تونر 1320
HAM,نصب اسكنر خانم وهام
HAM,اشكال در اينترانت
HAM,اشكال در ويندوز نياز به نصب مجدد
HAM,اشكال در DVD Rom و درايور كيبورد
SPAN,نياز به تونر سامسونگ
HAM,اشكال در تبديل فايلهاي Office خانم حزبه
HAM,نصبOffice 2007 آقاي دولو
HAM,انتقال اطلاعات
HAM,اشكال در پروفايل
HAM,اشكال در اجراي Finance
SPAN,نياز به يكعدد Cool Disk 4GB
SPAN,نياز به يكعدد Cool Disk 4GB
SPAN,نياز به يكعدد Cool Disk 4GB
HAM,ايراد در پرينتر و Finance
HAM,ايراد در لپ تاپ
HAM,ايراد در پاور سيستم
HAM,صدا در سيستم خانم خالدي
HAM,نياز به تحويل يك ست سيستم يونيت و يك دستگاه پرينتر سامسونگ
HAM,نياز به تحويل يك دستگاه لپ تاپ DELL
SPAN,نياز به 5 عدد DVD
HAM,نياز به تحويل يك ست سيستم يونيت و يك دستگاه پرينتر 1320
SPAN,نياز به يكدستگاه اسكنر
HAM,نياز به نصب پرينتر
HAM,اشكال در Nod32  و Eorg
HAM,ايراد در IE آقاي هندالي
SPAN,نياز به يكعدد كابل برق
HAM,ايراد در سيستم
HAM,اشكال در ويندوز
HAM,ايراد در بروز رساني Finance
HAM,ايراد در بروز رساني Finance
HAM,نياز به نصب نرم افزار Solid Work
HAM,ايراد در بروز رساني Nod32
SPAN,نياز به تونر 53A
SPAN,نياز به رايت اطلاعات
SPAN,نياز به يكعدد پد ماوس
HAM,ايراد در ويندوز
HAM,اشكال در اينترنت خ هويزه
HAM,ايراد در بروز رساني Finance
HAM,اشكال نرم افزاري در ويندوز
HAM,اشكال در Office منشي
HAM,ايراد در نصب Naft Khiz
HAM,ايراد در PDF نمودن سيستم منشي
HAM,نياز به نصب اسكنر منشي خ پيرزاد
HAM,اشكال در باطري Bios
HAM,اشكال در باطري Bios  سيستم خ مالكي
HAM,نصب كارت گرافيك
HAM,اشكال در درايور كارت گرافيك نصب مجدد
HAM,اشكال در اجراي ويندوز + اشكال پرينتر
HAM,اشكال در ويندوز
HAM,اشكال در اكانت منشي بودجه
SPAN,نياز به يك دستگاه كيبورد و يك عدد ماوس
HAM,نياز به نصب PhotoShop CS 9
HAM,ايراد در اسكنر منشي در Eorg
SPAN,نياز به يكعدد ماوس و 2 عدد پد ماوس
HAM,"ايراد در مانيتور LG 17"" M1710"
SPAN,ايراد در DVD Writer Lap Top Dell Inspiron 1525
SPAN,شارژ تونرهاي مصرفي كاربران به تعداد 8عدد
SPAN,نياز به 2 عدد پد ماوس
SPAN,نياز به تونر 5040 Tally Genicom
SPAN,نياز به 10 عدد CD و 10 عدد فلاپي
SPAN,نياز به 6 عدد كابل شبكه و يك دستگاه هاب 8 پورت
SPAN,نياز به يكعدد پد ماوس
SPAN,نياز به تونر آبي 2550
SPAN,نياز به تونر 1320
HAM,ايراد در Login به سيستم
HAM,ايراد در ضمائم نامه هاي Eorg
HAM,اشكالدر Boot شدن سيستم
HAM,اشكال در اسكن نامه Eorg
HAM,اشكال در بروز رساني Finance
HAM,اشكال در برنامه OverHual خ زمانپور
HAM,نياز به نصب Real Player خ زنگنه
SPAN,نياز به 2 عدد پد ماوس و يكعدد ماوس
HAM,كندي بيش ازحد سيستم
HAM,اشكال در اجراي Finance
HAM,ايراد در راه اندازي سيستم منشي  Clean Up و بروز رساني
HAM,كندي سيستم و بروز رساني Nod32
HAM,اشكال در فونت فارسي سيستم خ بهمني
HAM,اشكال در Finance منشي
HAM,ايراد در سيستم شريفات (ويروسي بودن Cool Disk)
HAM,اشكال در ضمائم نامه
HAM,اشكال در اجراي Office
HAM,اشكال در اسكنر G3010
HAM,اشكال در ويندوز و عدم بروز رساني
HAM,نياز به Office Viwer 2007
HAM,نصب  Visio 2007 روي سيستم منشي
HAM,نياز به ارتقاء درايو C
HAM,Join Domain
HAM,نياز به نصب Flash Player
HAM,نياز به رايت اطلاعات
SPAN,نياز به تونر 53A
HAM,نصب پرينتر 2014 خ انتظام
HAM,اشكال در پرينترتحت شبكه خسروي
HAM,نياز به نصب 1300 Printer خ حلفي
HAM,نياز به نصب پرينتر 2850
HAM,نياز به نصب Finance
SPAN,نياز به 7 عدد CD خام
HAM,تعريف پرينتر خ انتظام
HAM,تعريف پرينتر تحت شبكه
HAM,تعريف پرينتر تحت شبكه
HAM,تعريف پرينتر تحت شبكه
HAM,تعريف پرينتر تحت شبكه
SPAN,نياز به تونر 53A
SPAN,نياز به يكعدد پد ماوس
HAM,اشكالدراكانت Eorg
HAM,اشكال در پرينتر تحت شبكه
HAM,اشكال در اجراي Dictionary
HAM,اشكال در  Office منشي خ نريمي
SPAN,نياز به تونر 53A
HAM,اشكال در تنظيمات اينترنت
SPAN,نياز به تونر 53A
SPAN,نياز به تونر 05A
SPAN,نياز به 6 عدد CD
HAM,كندي سيستم و مشكلدر كيبورد
SPAN,نياز به يكعدد پد ماوس جهت منشي
HAM,اشكال در اسكنر 3020
HAM,اشكال در كابل مانيتورمنشي
HAM,اشكال در HSE سيستم خ عنافچه
SPAN,نياز به 10 عدد فلاپي ديسك
SPAN,نياز به تونر 2550
SPAN,نياز به تونر زرد 2550
HAM,نياز به يك دستگاه پرينتر سه كاره M1522N
HAM,ايراد در ويندوز
HAM,ايراد در ويندوز
SPAN,نياز به يك عدد تونر 36A
SPAN,نياز به يك عدد تونر 53A
SPAN,نياز به يك عدد موس
SPAN,نياز به يك عدد تونر 49A
SPAN,ايراد در كابل مانيتور منشي
SPAN,نياز به 2 عدد ماوس و يكعدد پد ماوس
SPAN,اشکال در کابل مان?تور
HAM,اشکال در اسکنر
HAM,اشکال در و?ندوز
SPAN,تعو?ض پد ماوس
HAM,نصب پر?نتر 1522
SPAN,ن?از به تونر 3020
SPAN,ن?از به 5 عدد د? و? د?
HAM,را?ت اطلاعات به تعداد 5 نسخه
HAM,نصب نرم افزار فا?نانس
HAM,نصب نرم افزار فا?نانس
HAM,گرفتن پر?نت پشت و رو
HAM,گرفتن پر?نت پشت و رو
SPAN,نياز به يكعدد ماوس
SPAN,تعو?ض تونر 53A مربوط به پر?نتر 2015
HAM,و?ندوز بالا نم? آ?د
SPAN,نياز به 2 عدد رول ريبون DFX 8500
HAM,بوق رم
SPAN,ايراد در DVD Rom نياز به تعويض
HAM,و?ندوز بالا نم? آ?د
SPAN,نياز به يكعدد پد ماوس
SPAN,تعويض تونر پرينتر سامسونگ
HAM,تعمير كارت صدا
SPAN,نياز به 5 عدد سي دي
HAM,اشكال در كيبورد TVM
SPAN,نياز به يك عدد تونر زرد 2550
HAM,تعويض دي وي دي رايتر و نصب مجدد ويندوز
HAM,نصب دي وي دي رايتر
HAM,تميزكاري كيبرد بدليل خيس شدن
HAM,نصب دي وي دي رايتر
HAM,نصب دي وي دي رايتر
HAM,خيس شدن كيبرد
SPAN,نياز به يك عدد CD
SPAN,باطري بايوس تعويض گرديد
SPAN,اشكال در ماوس نوري
SPAN,نياز به تونر زرد 2550
HAM,باز نشدن فايل پي دي اف
HAM,سيستم كند مي باشد
HAM,سيستم كند مي باشد
SPAN,ايراد در ماوس نوري
HAM,سيستم كند مي باشد
HAM,سيستم كند مي باشد
HAM,پرينت نمي گيرد
HAM,پر بودن اينباكس ايميل
SPAN,ايراد در DVD Writer
SPAN,نياز به شارژ تونرهاي مصرفي كاربران
SPAN,نياز به اسپري كف جهت كارگاه
HAM,نصب فاينانس
HAM,قطع صدا و قطع كيبرد
SPAN,نياز به تونر 1300
SPAN,نياز به تونر 3020
HAM,ايراد درويندوز
HAM,ايراد در ويندوز
HAM,اشكال در Office
HAM,اشكال در پرينتر منشي
HAM,اشكال كيبورد- پروفايل
HAM,كندي در سيستم
HAM,نياز به نصب DFX 8500
HAM,اشكال در DVD Rom
HAM,نياز به تعويض DVD WRiter
HAM,نصب Acrobat 10
HAM,اشكال در Finance
HAM,اشكال در رايت اطلاعات و نصب پرينتر
SPAN,تعويض تونر
HAM,بالا نيامدن اسكنر
SPAN,نياز به تونر 1320
HAM,سيستم كند مي باشد
HAM,اينترنت بالا نمي آيد
HAM,نصب فاينانس
HAM,مشكل در اتصال به اينترنت
SPAN,نياز به يك عدد تونر سامسونگ و يك عدد تونر 3020
SPAN,نياز به يك عدد تونر 1300
SPAN,تعويض تونر
SPAN,تعويض تونر
SPAN,شارژ تونرهاي مصرفي به تعداد 14 عدد
SPAN,تونر مشكي 2550
HAM,بالا نيامدن سيستم
HAM,بالا نيامدن سيستم مكانيزه
HAM,چاپ نمي گيرد
SPAN,نياز به 2 عدد cd خام
HAM,نمايش تمامي اعداد به فارسي در ورد
HAM,پاك كردن پسورد آقاي خالدي
HAM,نصب گوگل ارث
SPAN,ايراد در ماوس منشي
HAM,ايراد در پورت USB
HAM,اجرا نكردن موسيقي
HAM,USB كار نمي كند
SPAN,نياز به 2 عدد سي دي
HAM,عدم ورود به اف تي پي
SPAN,نياز به 5 عدد Cd خام
HAM,در ورد اعداد فارسي نمي شود
HAM,نداشتن صدا
HAM,ريست كردن پسورد
HAM,تعويض كارت شبكه
HAM,بالا نيامدن اينترنت
SPAN,نياز به يك عدد تونر زرد
SPAN,شارژ تونرهاي مصرفي كاربران
HAM,نصب درايور پرينتر
HAM,تنظيم پرينتر
HAM,نصب ديدن آفيس 2010
HAM,بالا نيامدن كامپيوتر
HAM,كيبرد كار نمي كند
HAM,مشكل در نرم افزار آفيس
HAM,عدم اتصال به اينترنت كامپيوتر منشي
HAM,پرينت نگرفتن منشي
HAM,اشكال در اكانت اينترنت منشي
HAM,نياز به نصب نرم افزار Office 2007 Viewer جهت منشي
HAM,اشكال در پرينتر 2015
HAM,ايراد در ضمائم Eorg
HAM,نصب Financeجهت خانم حلفي
HAM,نصب Fire Fox
HAM,نياز به نصب Google Earth
SPAN,نياز به تونر 49A
SPAN,نياز به تونر 49A
HAM,نياز به نصب Flash Player
HAM,نياز به نصب Finance
HAM,اشكال در ضمائم نامه
HAM,اشكال در تنظيمات IE
HAM,نياز به رايت اطلاعات
SPAN,نياز به تونر سامسونگ
SPAN,نياز به تونر53A
HAM,تعويض آفيس
HAM,كامپيوتر روشن نمي شود
SPAN,نياز به يكعدد Cool Disk 4 GB
SPAN,نياز به يكعدد Cool Disk 4GB
HAM,نياز به يك دستگاه پرينتر EPSON  DFX8500
SPAN,نياز به يكعدد ماوس نوري
HAM,تعويض ويندوز
SPAN,تعويض باطري بايوس
SPAN,شارژ تونرهاي مصرفي كاربران به تعداد 10 عدد
SPAN,تعمير پرينتر برگشتي آغاجاري
SPAN,نياز به تحويل يك ست سيستم يونيت
HAM,نصب نرم افزار آفيس 2007
SPAN,تعويض موس
SPAN,نياز به يكعدد Cool Disk 4GB
SPAN,تعويض باطري بايوس و ويندوز
HAM,كامپيوتر روشن نمي شود
HAM,نصب پرينتر
HAM,قطعي شبكه
HAM,پرينتر پرينت نمي گيرد
HAM,مشكل در شبكه
HAM,مشكل پرينتر
HAM,مشكل در شبكه
HAM,چاي روي كيبرد ريخته شده
HAM,مشكل در شبكه
HAM,كندي سيستم
SPAN,ايراد در DVD Rom
SPAN,نياز به اسپيكر USB
HAM,كيبرد و رم مشكل دارد
HAM,عدم اتصال به شبكه
HAM,تعويض دي وي دي رايتر
SPAN,شارژ تونر مشكي به تعداد 16 عدد
HAM,بالا نيامدن سيستم منشي
HAM,تعويض رم
HAM,نياز به يك دستگاه كيبورد فراسو
SPAN,تعويض تونر
HAM,مشكل در شبكه سيستم منشي
SPAN,تعويض تونر
SPAN,تعويض تونر
HAM,ويندوز بالا نمي آيد
HAM,ويندوز نصب شد
SPAN,نياز به تحويل پرينتر
SPAN,نياز به تحويل پرينتر
SPAN,نياز به مبدل براي پرينتر
HAM,هنگ كردن متوالي سيستم منشي
SPAN,تعويض تونر 53A
SPAN,موس نياز به تعويض دارد . از نوع PS2
HAM,فارسي كردن اعداد در آفيس كامپيوتر خانم حزبه
SPAN,نياز به يكعدد DVD Writer جهت سيستم آقاي جباره اصل
SPAN,شارژ تونرهاي مصرفي به تعداد 13 عدد
SPAN,نياز به 2 عدد اسپري كف جهت تميزكاري سرورها
HAM,نصب اسكنر براي آقاي شولي
HAM,تنظيم اينترنت اكسپلورر
HAM,نصب اسكنر روي كامپيوتر آقاي شولي
HAM,ويندوز نصب گرديد
SPAN,نياز به يك ست سيستم يونيت
SPAN,نياز به يك ست سيستم يونيت
HAM,نياز به تحويل سيستم يونيت
SPAN,تعويض تونر منشي
SPAN,ا?راد در پاور س?ستم
HAM,مانيتور مشكل دارد
HAM,كيس تعويض گرديد
SPAN,نياز به تحويل يك دستگاه لپ تاپ SONY
SPAN,تعويض تونر خانم جانكي منشي آقاي خزامي مدل سامسونگ
HAM,تحويل يك ست اسپيكر
HAM,نصب پرينتر براي آقاي قنواتي
SPAN,تونر سامسونگ جهت منش?
SPAN,تونر زرد جهت پر?نتر 2550
HAM,اشکال در Login به و?ندوز
HAM,اشکال درشبکه
HAM,اشکال در کارت گراف?ک
HAM,اشکال در کارت گراف?ک
HAM,اشکال در شبکه
SPAN,ن?از به تونر 53A
SPAN,ن?از به تونر 1320
HAM,ن?از به نصب پر?نتر
SPAN,ن?از به تونر سامسونگ 2850
SPAN,را?ت اطلاعات به تعداد 4 نسخه
HAM,اشکال در Eorg
HAM,اشكال در مانيتور LCD
HAM,اشكال در تنظيمات شبكه و نياز به نصب SP3 و Update
HAM,اشكال در تنظيمات شبكه
HAM,نياز به نصب پرينتر و OverHual
HAM,دريافت اكانت Eorg آقاي حيدري از ستاد
HAM,نياز به نصب TV Card
HAM,اشكال در Eorg و كيبورد فارسي
SPAN,نياز به رايت اطلاعات به تعداد 3 نسخه DVD
HAM,نياز به تحويل يك دستگاه كيبور فراسو
HAM,نصب سيستم اورهال
HAM,نصب اسكنر
HAM,نصب كارت تي وي
HAM,سيستم بالا نمي آيد
HAM,سيستم بالا نمي آيد
HAM,بالا نيامدن مانيتور منشي
HAM,نصب نرم افزار قرآن
HAM,نصب پرينتر
HAM,سيستم منشي بالا نمي آيد
HAM,سيستم به اينترنت وصل نمي شود
HAM,سيستم به اينترنت وصل نمي شود
HAM,نياز به يك دستگاه كيبورد
SPAN,نياز به يكعدد پد ماوس
HAM,مشكل رم
SPAN,كيبرد امور منشيگري ايراد دارد
SPAN,تونر 53A تعويض گرديد
HAM,نياز به 2 عدد پد ماوس
HAM,نصب يو اس بي
HAM,پرينتر منشي مشكل دارد
HAM,نصب اسكنر
HAM,نصب اسكنر منشي
HAM,نصب اينترنت اكسپلورر 8
HAM,نياز به يك دستگاه پرينتر
HAM,نياز به يك دستگاه پرينتر
HAM,نصب پرينتر براي منشي
HAM,نصب پرينتر
SPAN,نياز به يكعدد ماوس USB
HAM,نياز به نصب پرينتر
HAM,مشكل در پرينتر و اسكنر منشي
HAM,نصب اينترنت اكسپلورر 8 براي سيستم خانم ابدالي
HAM,بوق رم مي زند .
HAM,سيستم كند مي باشد
HAM,نصب فاينانس
HAM,نصب اينترنت اكسپلورر
HAM,سيستم كند شده است
HAM,سيستم منشي صدا ندارد
HAM,سيستم روشن نمي شود
SPAN,ن?از به 9 عدد CD خام
SPAN,تعويض تونر سامسونگ
SPAN,تعويض تونر سامسونگ خانم منشي
HAM,نصب پرينتر و اسكنر منشي خانم نوشاد
HAM,نياز به يك دستگاه كيبورد
HAM,تنظيم پرينتر
HAM,نصب دي وي بي بر روي سيستم
HAM,تنظيم پرينتر
HAM,نياز به يك دستگاه كيبورد
HAM,نصب كارت صدا
HAM,نصب موس
HAM,نصب كارت صدا
SPAN,نياز به يك عدد كابل صدا
HAM,نصب اسكنر
HAM,نصب پرينتر
HAM,نصب ويندوز
HAM,نصب فاينانس براي منشي
HAM,نياز به يك دستگاه لپ تاپ
SPAN,نياز به Cool Disk 4G
SPAN,نياز به يك ست سيستم يونيت
HAM,ايراد در پرينتر منشي
HAM,نياز به نصب كارت گرافيك
HAM,نصب پرينتر
SPAN,نياز به 3 عدد DVD
SPAN,"شارژ تونرهاي مصرفي كاربران به تعداد 18 عدد  HP 12A,49A,53A"
SPAN,نياز به تونر 1320
HAM,نصب نرم افزار
SPAN,تعويض تونر سامسونگ
SPAN,تعويض تونر سامسونگ
HAM,نصب نرم افزار روي سيستم
HAM,نصب اسكنر
HAM,نصب نرم افزار
HAM,نصب نرم افزار براي خانم حلفي
HAM,نصب نرم افزار براي خانم بهمني
HAM,نصب نرم افزار
HAM,تعويض سي پي يو و ارتقا رم سيستم خانم اصلاح
SPAN,نياز به دو عدد CD
SPAN,3 عدد سي دي خام
HAM,نصب فايننس و فارسي ساز
HAM,نصب سيستم
SPAN,كابل شبكه
HAM,نياز به كابل شبكه 20 متري
SPAN,نياز به كابل شبكه 20 متري
HAM,نياز به 50 متر كابل شبكه جهت جابجايي شبكه
SPAN,نياز به يكعدد پد ماوس
HAM,نياز يه يك دستگاه پرينتر HP 2055D
SPAN,يك دستگاه پرينتر BROTER  كابل شبكه 50 متري  تعداد 9 عدد تونر
SPAN,نياز به يك عدد تونر سامسونگ
SPAN,نياز به دو عدد سي دي
SPAN,نياز به يك عدد كلديسك 4G  و دو عدد CD
HAM,نصب پرينتر
HAM,نصب نرم افزار برروي سيستم خانم اصلاح
HAM,نصب اينترنت اكسپلورر
HAM,نياز به نصب پرينتر
HAM,نياز به نصب پرينتر
HAM,ايراد درسيستم منشي
